customer_id,segment,join_date,city,preferred_channel,frequency_target,recency_target,aov_min,aov_max,product_variety,discount_prone
CUST001000,Champions,2021-10-16,Delhi,Store,11,8,5000,9000,3,False
CUST001001,Champions,2022-01-24,Delhi,Mobile_App,11,28,5000,9000,5,True
CUST001002,Champions,2021-03-08,Mumbai,Store,6,6,5000,9000,3,False
CUST001003,Champions,2020-01-28,Pune,Mobile_App,11,22,5000,9000,5,False
CUST001004,Champions,2021-04-04,Hyderabad,Store,12,25,5000,9000,3,False
CUST001005,Champions,2020-12-14,Hyderabad,Store,7,30,5000,9000,4,False
CUST001006,Champions,2021-01-24,Delhi,Online,12,11,5000,9000,5,False
CUST001007,Champions,2020-02-14,Ahmedabad,Mobile_App,6,29,5000,9000,4,True
CUST001008,Champions,2020-10-27,Chennai,Mobile_App,7,22,5000,9000,3,True
CUST001009,Champions,2020-08-21,Hyderabad,Store,12,7,5000,9000,3,False
CUST001010,Champions,2021-04-09,Chennai,Store,8,11,5000,9000,3,False
CUST001011,Champions,2021-12-19,Delhi,Mobile_App,11,5,5000,9000,5,False
CUST001012,Champions,2020-06-16,Ahmedabad,Online,8,29,5000,9000,5,False
CUST001013,Champions,2020-08-12,Chennai,Store,7,26,5000,9000,3,False
CUST001014,Champions,2021-02-14,Hyderabad,Store,7,29,5000,9000,5,False
CUST001015,Champions,2020-11-18,Pune,Mobile_App,9,12,5000,9000,5,False
CUST001016,Champions,2020-09-28,Bangalore,Store,11,17,5000,9000,5,False
CUST001017,Champions,2021-08-21,Kolkata,Mobile_App,9,11,5000,9000,3,False
CUST001018,Champions,2020-05-21,Ahmedabad,Store,12,1,5000,9000,3,False
CUST001019,Champions,2020-06-12,Kolkata,Mobile_App,6,12,5000,9000,4,False
CUST001020,Champions,2021-04-24,Hyderabad,Mobile_App,12,30,5000,9000,3,False
CUST001021,Champions,2020-04-27,Hyderabad,Mobile_App,8,3,5000,9000,4,False
CUST001022,Champions,2021-04-09,Mumbai,Mobile_App,11,8,5000,9000,5,False
CUST001023,Champions,2021-06-03,Delhi,Mobile_App,8,26,5000,9000,5,False
CUST001024,Champions,2020-07-22,Bangalore,Online,12,5,5000,9000,5,False
CUST001025,Champions,2021-06-27,Mumbai,Mobile_App,8,15,5000,9000,3,False
CUST001026,Champions,2021-01-06,Hyderabad,Store,6,7,5000,9000,5,False
CUST001027,Champions,2020-03-28,Ahmedabad,Store,12,17,5000,9000,3,False
CUST001028,Champions,2021-05-01,Bangalore,Online,10,27,5000,9000,5,False
CUST001029,Champions,2020-08-04,Pune,Mobile_App,8,12,5000,9000,5,False
CUST001030,Champions,2021-03-24,Ahmedabad,Store,7,7,5000,9000,3,False
CUST001031,Champions,2021-08-25,Pune,Mobile_App,7,0,5000,9000,3,False
CUST001032,Champions,2020-03-01,Pune,Store,6,27,5000,9000,4,True
CUST001033,Champions,2020-08-31,Hyderabad,Mobile_App,9,6,5000,9000,5,False
CUST001034,Champions,2022-06-22,Ahmedabad,Store,12,15,5000,9000,4,False
CUST001035,Champions,2020-04-09,Kolkata,Online,9,13,5000,9000,4,False
CUST001036,Champions,2020-02-25,Delhi,Store,9,23,5000,9000,4,False
CUST001037,Champions,2020-04-21,Pune,Store,7,17,5000,9000,4,False
CUST001038,Champions,2020-07-06,Hyderabad,Online,7,27,5000,9000,3,False
CUST001039,Champions,2022-06-01,Delhi,Store,11,17,5000,9000,3,False
CUST001040,Champions,2022-02-10,Pune,Store,9,15,5000,9000,4,False
CUST001041,Champions,2021-02-14,Mumbai,Store,9,0,5000,9000,4,False
CUST001042,Champions,2022-03-13,Ahmedabad,Online,9,22,5000,9000,5,False
CUST001043,Champions,2021-07-23,Ahmedabad,Store,7,9,5000,9000,3,False
CUST001044,Champions,2021-08-16,Mumbai,Mobile_App,8,1,5000,9000,3,False
CUST001045,Champions,2021-05-29,Bangalore,Store,10,2,5000,9000,3,True
CUST001046,Champions,2020-03-10,Pune,Online,6,30,5000,9000,5,False
CUST001047,Champions,2021-08-31,Mumbai,Mobile_App,6,13,5000,9000,5,False
CUST001048,Champions,2021-06-19,Chennai,Online,7,21,5000,9000,5,False
CUST001049,Champions,2020-09-28,Kolkata,Store,11,20,5000,9000,4,False
CUST001050,Champions,2022-02-08,Delhi,Store,9,19,5000,9000,5,False
CUST001051,Champions,2020-03-16,Pune,Mobile_App,8,4,5000,9000,4,False
CUST001052,Champions,2022-06-19,Pune,Online,8,5,5000,9000,4,False
CUST001053,Champions,2021-12-21,Hyderabad,Mobile_App,12,20,5000,9000,5,True
CUST001054,Champions,2022-04-16,Hyderabad,Mobile_App,6,30,5000,9000,3,False
CUST001055,Champions,2022-06-30,Delhi,Mobile_App,10,4,5000,9000,4,False
CUST001056,Champions,2020-08-03,Chennai,Store,11,20,5000,9000,4,False
CUST001057,Champions,2020-09-14,Mumbai,Store,11,13,5000,9000,4,True
CUST001058,Champions,2020-12-07,Bangalore,Mobile_App,8,5,5000,9000,5,False
CUST001059,Champions,2021-12-23,Kolkata,Mobile_App,6,3,5000,9000,3,False
