customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_Score,segment
CUST001000,32,11,75186.72,5,5,5,555,Champions
CUST001001,42,11,68341.98,5,5,5,555,Champions
CUST001002,87,6,34833.39,5,5,5,555,Champions
CUST001003,37,11,72937.12,5,5,5,555,Champions
CUST001004,84,12,77663.4,5,5,5,555,Champions
CUST001005,115,7,48047.020000000004,4,5,5,455,Champions
CUST001006,66,12,75532.99,5,5,5,555,Champions
CUST001007,99,6,39403.259999999995,5,5,5,555,Champions
CUST001008,324,7,41700.66,3,5,5,355,Loyal Customers
CUST001009,76,12,80301.09,5,5,5,555,Champions
CUST001010,19,8,52000.0,5,5,5,555,Champions
CUST001011,16,11,58125.94,5,5,5,555,Champions
CUST001012,175,8,50918.26,4,5,5,455,Champions
CUST001013,191,7,50572.1,4,5,5,455,Champions
CUST001014,96,7,40979.62,5,5,5,555,Champions
CUST001015,21,9,61483.28,5,5,5,555,Champions
CUST001016,133,11,73677.43,4,5,5,455,Champions
CUST001017,22,9,53716.33,5,5,5,555,Champions
CUST001018,121,12,82215.9,4,5,5,455,Champions
CUST001019,183,6,42000.0,4,5,5,455,Champions
CUST001020,67,12,74014.35,5,5,5,555,Champions
CUST001021,123,8,50297.9,4,5,5,455,Champions
CUST001022,10,11,75000.0,5,5,5,555,Champions
CUST001023,81,8,55765.65,5,5,5,555,Champions
CUST001024,104,12,79311.76,5,5,5,555,Champions
CUST001025,49,8,52249.43,5,5,5,555,Champions
CUST001026,112,6,38173.92,4,5,5,455,Champions
CUST001027,55,12,73764.44,5,5,5,555,Champions
CUST001028,58,10,64937.2,5,5,5,555,Champions
CUST001029,277,8,52258.3,3,5,5,355,Loyal Customers
CUST001030,180,7,43000.0,4,5,5,455,Champions
CUST001031,29,7,37656.979999999996,5,5,5,555,Champions
CUST001032,304,6,42000.0,3,5,5,355,Loyal Customers
CUST001033,8,9,59311.06,5,5,5,555,Champions
CUST001034,19,12,80865.78,5,5,5,555,Champions
CUST001035,14,9,61183.909999999996,5,5,5,555,Champions
CUST001036,260,9,53765.84,3,5,5,355,Loyal Customers
CUST001037,227,7,41823.64,3,5,5,355,Loyal Customers
CUST001038,97,7,48583.08,5,5,5,555,Champions
CUST001039,30,11,80538.68,5,5,5,555,Champions
CUST001040,24,9,55364.96,5,5,5,555,Champions
CUST001041,65,9,57381.56,5,5,5,555,Champions
CUST001042,57,9,54410.71,5,5,5,555,Champions
CUST001043,39,7,48807.08,5,5,5,555,Champions
CUST001044,91,8,65535.12,5,5,5,555,Champions
CUST001045,108,10,57668.6,4,5,5,455,Champions
CUST001046,450,6,43770.880000000005,2,5,5,255,About to Sleep
CUST001047,150,6,31946.62,4,5,5,455,Champions
CUST001048,73,7,40598.36,5,5,5,555,Champions
CUST001049,116,11,69375.99,4,5,5,455,Champions
CUST001050,47,9,57235.020000000004,5,5,5,555,Champions
CUST001051,197,8,60000.0,4,5,5,455,Champions
CUST001052,6,8,47323.53,5,5,5,555,Champions
CUST001053,22,12,82429.7,5,5,5,555,Champions
CUST001054,76,6,33525.36,5,5,5,555,Champions
CUST001055,21,10,71902.29000000001,5,5,5,555,Champions
CUST001056,86,11,79728.0,5,5,5,555,Champions
CUST001057,24,11,64105.98,5,5,5,555,Champions
CUST001058,75,8,52399.14,5,5,5,555,Champions
